Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: End Game,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home,character_name,gender
,,,,,,,,,,,,,,,,,,,,,,3:15,,,,,Zoha,Female
,,,,,,,,,,,,,,,,,,,,,,3:00,,,,,Zach,Male
,,,,,,,,,,,,,,,,,,,,,,3:00,,,,,Tyler,Male
,,,,,,,,,,,,,,,,,,,,,,2:45,,,,,Sebastian,Male
,,,,,,,,,,,,,,,,,,,,,,2:45,,,,,Yasmin,Female
,,,,,,,,,,,,,,,,,,,,,,1:30,,,,,Dimitri,Male
,,,,,,,,,,,,,,,,,,,,,,:15,,,,1:45,J. Jonah Jameson,Male
,,,,,,,,,,,,,,,,,,,,,,,:45,,,,Thaddeus Ross,Male
,,,,,,,,,,,,,,,,,,,,,,,,63:00:00,,,Xu Shang-Chi,Male
,,,,,,,,,,,,,,,,,,,,,,,,31:15:00,,,Katy Chen,Female
,,,,,,,,,,,,,,,,,,,,,,,,3:30,,,Soo,Male
,,,,,,,,,,,,,,,,,,,,,,,,27:00:00,,,Xu Wenwu,Male
,,,,,,,,,,,,,,,,,,,,,,,41:00:00,,,,Yelena Belova,Female
,,,,,,,,,,,,,,,,,,,,,,,24:15:00,,,,Alexei Shostakov,Male
,,,,,,,,,,,,,,,,,,,,,,,20:45,,,,Melina Vostkoff,Female
,,,,,,,,,,,,,,,,,,,,,,,10:15,,,,General Viktor Dreykov,Male
,,,,,,,,,,,,,,,,,,,,,,,9:30,,,,Taskmaster,Male
,,,,,,,,,,,,,,,,,,,,,,,3:45,,,,Rick Mason,Male
,,,,,,,,,,,,,,,,,,,,,,,1:30,,,,Lerato,Female
,,,,,,,,,,,,,,,,,,,,,,,1:30,,,,Ingrid,Female
,,,,,,,,,,,,,,,,,,,,,,,1:15,,,,Oksana,Female
,,,,,,,,,,,,,,,,,,,,,,,1:00,,,,Contessa Valentina de Fontaine,Female
,,,,,,,,,,,,,,,,,,,,,,,,22:00,,,Xu Xialing,Female
,,,,,,,,,,,,,,,,,,,,,,,,7:45,,,Ying Nan,Female
,,,,,,,,,,,,,,,,,,,,,,,,6:30,,,Ying Li,Female
,,,,,,,,,,,,,,,,,,,,,,,,6:00,,,Razor Fist,Male
,,,,,,,,,,,,,,,,,,,,,,,,5:15,,,Morris,Male
,,,,,,,,,,,,,,,,,,,,,,,,4:15,,,The Great Protector,Male
,,,,,,,,,,,,,,,,,,,,,,,,3:45,,,The Dweller in Darkness,Male
,,,,,,,,,,,,,,,,,,,,,,,,2:30,,,John,Male
,,,,,,,,,,,,,,,,,,,,,,,,2:30,,,Jon Jon,Male
,,,,,,,,,,,,,,,,,,,,,,,,2:15,,,Death Dealer,Male
,,,,,,,,,,,,,,,,,,,,,,,,1:45,,,Master Guang Bo,Male
,,,,,,,,,,,,,,,,,,,,,,,,,46:15:00,,Sersi,Female
,,,,,,,,,,,,,,,,,,,,,,,,,34:30:00,,Ikaris,Male
,,,,,,,,,,,,,,,,,,,,,,,,,19:15,,Thena,Female
,,,,,,,,,,,,,,,,,,,,,,,,,17:30,,Sprite,Female
,,,,,,,,,,,,,,,,,,,,,,,,,15:15,,Kingo,Male
,,,,,,,,,,,,,,,,,,,,,,,,,15:15,,Phastos,Male
,,,,,,,,,,,,,,,,,,,,,,,,,11:15,,Druig,Male
,,,,,,,,,,,,,,,,,,,,,,,,,10:30,,Ajak,Female
,,,,,,,,,,,,,,,,,,,,,,,,,10:00,,Makkari,Female
,,,,,,,,,,,,,,,,,,,,,,,,,9:15,,Gilgamesh,Male
,,,,,,,,,,,,,,,,,,,,,,,,,8:45,,Dane Whitman,Male
,,,,,,,,,,,,,,,,,,,,,,,,,7:00,,Kro,Male
,,,,,,,,,,,,,,,,,,,,,,,,,6:00,,Karun,Male
,,,,,,,,,,,,,,,,,,,,,,,,,3:00,,Tiamut,Male
,,,,,,,,,,,,,,,,,,,,,,,,,2:00,,Jack,Male
,,,,,,,,,,,,,,,,,,,,,,,,,1:45,,Arishem,Male.
,,,,,,,,,,,,,,,,,,,,,,,,,1:00,,Pip the Troll,Male
,,,,,,,,,,,,,,,,,,,,,,,,,:45,,Starfox,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,27:15:00,"Michelle ""MJ"" Jones Watson",Female
,,,,,,,,,,,,,,,,,,,,,,,,,,9:15,Green Goblin,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,9:15,Doctor Octopus,Male
,,,,,,,,,,,,,,,,,,,,,,,,,,7:15,Electro,Male
